kind	name	count	total	min	max	mean
metric	plan_us	10	2417775	23232	356365	241777.500
metric	writer_us	10	2377760	86697	316000	237776.000
metric	total_us	10	4795535	109929	672365	479553.500
metric	columns	10	64000	6400	6400	6400.000
metric	candidate_cells	10	490	49	49	49.000
metric	candidates	10	1664	0	897	166.400
metric	r5_runs	10	198400	6400	25600	19840.000
metric	vm_get_emerged_area_us	10	22	1	3	2.200
metric	vm_get_data_us	10	43075	4058	4343	4307.500
metric	vm_get_param2_data_us	10	43052	4057	4344	4305.200
metric	vm_get_light_data_us	10	77270	0	8727	7727.000
metric	vm_set_data_us	10	72531	7000	7539	7253.100
metric	vm_set_param2_data_us	10	20985	0	7085	2098.500
metric	vm_set_lighting_us	10	1044	0	146	104.400
metric	vm_calc_lighting_us	10	30299	0	5383	3029.900
metric	vm_set_light_data_us	10	64710	0	7489	6471.000
metric	vm_update_liquids_us	10	8697	0	1140	869.700
writer_result	applied_clq	6	-	-	-	-
writer_result	applied_c	1	-	-	-	-
writer_result	applied_cplq	3	-	-	-	-
callbacks	all	10	-	-	-	-
