kind	name	count	total	min	max	mean
metric	plan_us	10	2395276	24086	374477	239527.600
metric	writer_us	10	2842801	83661	496562	284280.100
metric	total_us	10	5238077	107747	871039	523807.700
metric	columns	10	64000	6400	6400	6400.000
metric	candidate_cells	10	490	49	49	49.000
metric	candidates	10	798	0	470	79.800
metric	r5_runs	10	198400	6400	25600	19840.000
metric	vm_get_emerged_area_us	10	22	1	4	2.200
metric	vm_get_data_us	10	43113	4060	4483	4311.300
metric	vm_get_param2_data_us	10	42871	4054	4415	4287.100
metric	vm_get_light_data_us	10	86256	8117	9348	8625.600
metric	vm_set_data_us	10	72763	6996	7544	7276.300
metric	vm_set_param2_data_us	10	21060	0	7166	2106.000
metric	vm_set_lighting_us	10	1233	42	154	123.300
metric	vm_calc_lighting_us	10	35594	781	6441	3559.400
metric	vm_set_light_data_us	10	71270	6813	7496	7127.000
metric	vm_update_liquids_us	10	9593	888	1091	959.300
writer_result	applied_clq	7	-	-	-	-
writer_result	applied_cplq	3	-	-	-	-
callbacks	all	10	-	-	-	-
