kind	name	count	total	min	max	mean
metric	plan_us	10	3704637	133967	534445	370463.700
metric	writer_us	10	11030105	172496	6992395	1103010.500
metric	total_us	10	14734742	373197	7431096	1473474.200
metric	columns	10	64000	6400	6400	6400.000
metric	candidate_cells	10	490	49	49	49.000
metric	candidates	10	3996	0	1431	399.600
metric	r5_runs	10	199785	0	25600	19978.500
metric	vm_get_emerged_area_us	10	24	1	4	2.400
metric	vm_get_data_us	10	43968	4337	4539	4396.800
metric	vm_get_param2_data_us	10	42970	4119	4389	4297.000
metric	vm_get_light_data_us	10	78697	0	9230	7869.700
metric	vm_set_data_us	10	72890	7270	7315	7289.000
metric	vm_set_param2_data_us	10	14225	0	7114	1422.500
metric	vm_set_lighting_us	10	1445	0	192	144.500
metric	vm_calc_lighting_us	10	34549	0	6583	3454.900
metric	vm_set_light_data_us	10	63966	0	7197	6396.600
metric	vm_update_liquids_us	10	8402	0	1024	840.200
writer_result	applied_clq	7	-	-	-	-
writer_result	applied_c	1	-	-	-	-
writer_result	applied_cplq	2	-	-	-	-
callbacks	all	10	-	-	-	-
